trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability
ceilings - sped up + reverb,2023-03-22 09:50,pearl,570301,0akIVqzM6zzbzZmCXQCp7i,165708,61,0.386
drivers license,2022-06-03 10:09,Olivia Rodrigo,2743851,7lPN2DXiMsVn7XUKtOW1CS,242013,29,0.585
drunk text me,2023-04-04 15:51,Lexi Jayde,1832968,5gukv8x9eP58gFy2OcZEBQ,213133,72,0.534
echo,2023-03-20 11:47,Alexander Stewart,1208775,4rdIhBrlaAOPnlTlugZBgz,198750,65,0.631
favorite crime,2022-06-02 22:36,Olivia Rodrigo,3524116,5JCoSi02qi3jJeHdZXMmR8,152666,85,0.369
golden hour,2022-09-26 15:27,JVKE,5207071,0e5UZadoZ5me957hKsxRYh,209259,1,0.511
good 4 u,2022-06-03 20:32,Olivia Rodrigo,4794141,6PERP62TejQjgHu81OHxgM,178147,24,0.556
scared,2022-06-24 15:04,Jeremy Zucker,772970,6r2JV75tE0vNgNCv4HKsBC,207520,64,0.583
she's all i wanna be,2022-06-03 02:33,Tate McRae,8281538,0IuVhCflrQPMGRrOyoY5RW,206772,75,0.614
that way,2022-06-03 20:39,Tate McRae,7617569,7l97ElWmIdVHWUaOeeU5ZC,175026,79,0.453
you broke me first,2022-06-03 20:26,Tate McRae,2049203,45bE4HXI0AwGZXfZtMp8JR,169265,84,0.667
you don't deserve these tears,2023-03-30 10:58,Lexi Jayde,2837304,3ZuCT3RWkGCu5DyIYG6u1D,132665,54,0.489
